smiles,Ki,Kd,IC50
Nc1ncnc2c1c(-c1ccccc1)nn2-c1ccccc1, 800,,
Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1, 220,,
Nc1ncnc2n[nH]c(Nc3cccc(Cl)c3)c12, 160,,
c1ccc(Nc2ncnc3n[nH]c(Nc4ccccc4)c23)cc1, 58,,
Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1, 84,,
Clc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1, 33,,
Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1, 130,,
Cc1cccc(Nc2ncnc3n[nH]c(Nc4cccc(Cl)c4)c23)c1, 130,,
COc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1, 30,,
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1, 8,,
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1, 8,,
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1, 1,,
CC(C)(C)OC(=O)Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,>10000,,
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1, 5,,
CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1, 29,,
Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1, 7,,
Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1, 26,,
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1, 8,,
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1, 7,,
Clc1cccc(Nc2ncnc3n[nH]c(-c4ccccc4)c23)c1, 19,,
Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1, 26,,
